Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
boracite,Mg3(B7O13)Cl,boracite group,borate,"[['Mg', 3, 2], ['B', 7, 3], ['O', 13, -2], ['Cl', 1, 1]]","{'Mg': 18.6, 'B': 19.3, 'O': 53.06, 'Cl': 9.04}","{'MgO': 30.84, 'B2O3': 62.15, 'Cl': 7}"
chambersite,Mn2+3(B7O13)Cl,boracite group,borate,"[['Mn', 3, 2], ['B', 7, 3], ['O', 13, -2], ['Cl', 1, 1]]","{'Mn': 34.06, 'B': 15.64, 'O': 42.98, 'Cl': 7.33}","{'MnO': 43.98, 'B2O3':  50.35, 'Cl': 5.68}"
congolite*,"(Fe2+,Mg)3(B7O13)Cl",boracite group,borate,"[['Fe', 2, 2], ['Mg', 1, 2], ['B', 7, 3], ['O', 13, -2], ['Cl', 1, 1]]","{'Fe': 24.54, 'Mg': 5.34, 'B': 16.63, 'O': 45.7, 'Cl': 7.79}","{'FeO': 31.6, 'MgO': 8.86, 'B2O3':  53.56, 'Cl': 7.79}"
ericaite*,Fe2+3(B7O13)Cl,boracite group,borate,"[['Fe', 3, 2], ['B', 7, 3], ['O', 13, -2], ['Cl', 1, 1]]","{'Fe': 34.43, 'B': 15.55, 'O': 42.74, 'Cl': 7.28}","{'FeO': 44.32, 'B2O3':  50.08, 'Cl': 7.28}"
trembathite,"(Mg,Fe)3(B7O13)Cl",boracite group,borate,"[['Mg', 2.25, 2], ['Fe', 0.75, 2], ['B', 7, 3], ['O', 13, -2], ['Cl', 1, 1]]","{'Mg': 13.16, 'Fe': 10.08, 'B': 18.2, 'O': 50.04, 'Cl': 8.53}","{'MgO': 21.82, 'FeO': 12.96, 'B2O3': 58.62, 'Cl': 6.61}"
hambergite,Be2(BO3)(OH),nan,borate,"[['Be', 2, 2], ['B', 1, 3], ['O', 4, -2], ['H', 1, 1]]","{'Be': 19.21, 'B': 11.52, 'O': 68.2, 'H': 1.07}","{'BeO': 53.31, 'B2O3':  37.09, 'H2O': 9.60}"
colemanite,Ca[B3O4(OH)3] · H2O,nan,borate,"[['Ca', 1, 2], ['B', 3, 3], ['O', 7, -2], ['H', 3, 1]]","{'Ca': 21.37, 'B': 17.29, 'O': 59.72, 'H': 1.61}","{'CaO': 27.28, 'B2O3':  50.81, 'H2O': 21.91}"
scheelite,Ca(WO4),scheelite group,molybdate,"[['Ca', 1, 2], ['W', 1, 6], ['O', 4, -2]]","{'Ca': 13.92, 'W': 63.85, 'O': 22.23}","{'CaO': 19.48, 'WO3': 80.52}"
powellite,Ca(MoO4),scheelite group,molybdate,"[['Ca', 1, 2], ['Mo', 1, 6], ['O', 4, -2]]","{'Ca': 20.04, 'Mo': 47.97, 'O': 32.0}","{'CaO': 28.04, 'MoO3': 71.96}"
stolzite,Pb(WO4),scheelite group,molybdate,"[['Pb', 1, 2], ['W', 1, 6], ['O', 4, -2]]","{'Pb': 45.53, 'W': 40.4, 'O': 14.06}","{'PbO': 49.05, 'WO3': 50.95}"
wulfenite,Pb(MoO4),scheelite group,molybdate,"[['Pb', 1, 2], ['Mo', 1, 6], ['O', 4, -2]]","{'Pb': 56.43, 'Mo': 26.13, 'O': 17.43}","{'PbO2': 63.15, 'MoO3': 37.21}"
adelite,CaMg(AsO4)(OH),adelite-descloizite group,arsenate,"[['Ca', 1, 2], ['Mg', 1, 2], ['As', 1, 5], ['O', 5, -2], ['H', 1, 1]]","{'Ca': 18.19, 'Mg': 11.03, 'As': 34.01, 'O': 36.31, 'H': 0.46}","{'CaO': 25.45, 'MgO': 18.29, 'As2O5':  52.16, 'H2O': 4.09}"
austinite,CaZn(AsO4)(OH),adelite-descloizite group,arsenate,"[['Ca', 1, 2], ['Zn', 1, 2], ['As', 1, 5], ['O', 5, -2], ['H', 1, 1]]","{'Ca': 15.33, 'Zn': 25.01, 'As': 28.66, 'O': 30.61, 'H': 0.39}","{'CaO': 21.45, 'ZnO': 31.14, 'As2O5':  43.96, 'H2O': 3.45}"
svabite,Ca5(AsO4)3F,apatite group,arsenate,"[['Ca', 5, 2], ['As', 3, 5], ['O', 12, -2], ['F', 1, 1]]","{'Ca': 31.5, 'As': 35.33, 'O': 30.18, 'F': 2.99}","{'CaO': 44.08, 'As2O5':  54.20, 'F': 1.73}"
