Mineral name,Chemical formula,Subgroup,Group,Machine readable formula, Elemental wt%,Oxide wt%
spadaite,MgSiO2(OH)2H2O,nan,phyllosilicate,"[['Mg', 1, 2], ['Si', 1, 4], ['O', 5, -2], ['H', 4, 1]]","{'Mg': 17.82, 'Si': 20.59, 'O': 58.64, 'H': 2.96}","{'MgO': 29.55, 'SiO2': 44.04, 'H2O': 26.45}"
willemseite,Ni3Si4O10(OH)2,pyrophyllite-talc group,phyllosilicate,"[['Ni', 3, 2], ['Si', 4, 4], ['O', 12, -2], ['H', 2, 1]]","{'Ni': 36.5, 'Si': 23.29, 'O': 39.8, 'H': 0.42}","{'NiO': 46.40, 'SiO2': 49.79, 'H2O': 3.75"
amesite,Mg2Al(AlSiO5)(OH)4,serpentine group,phyllosilicate,"[['Mg', 2, 2], ['Al', 2, 3], ['Si', 1, 4], ['O', 9, -2], ['H', 4, 1]]","{'Mg': 17.44, 'Al': 19.36, 'Si': 10.08, 'O': 51.67, 'H': 1.45}","{'Al2O3': 36.59, 'MgO': 28.92, 'SiO2': 21.56, 'H2O': 12.93}"
antigorite,Mg3(Si2O5)(OH)4,serpentine group,phyllosilicate,"[['Mg', 3, 2], ['Si', 2, 4], ['O', 9, -2], ['H', 4, 1]]","{'Mg': 26.31, 'Si': 20.27, 'O': 51.96, 'H': 1.45}","{'MgO': 43.63, 'SiO2': 43.33, 'H2O': 12.96}"
meifuite,KFe6(Si7Al)O19(OH)4Cl2,serpentine group,phyllosilicate,"[['K', 1, 1], ['Fe', 6, 2], ['Si', 7, 4], ['Al', 1, 3], ['O', 23, -2], ['H', 4, 1] ['Cl', 2, -1]]","{'K': 3.76, 'Fe': 32.2, 'Si': 18.9, 'Al': 2.59, 'O': 35.36, 'H': 0.39, 'Cl': 6.81}","{'Al2O3': 4.89, 'K2O': 4.53, 'FeO': 41.41, 'SiO2': 40.41, 'H2O': 3.49, 'Cl': 5.27}"
nontronite,"Na0.3Fe3+2(Si,Al)4O10(OH)2H2O",smectite group,phyllosilicate,"[['Na', 0.3, 1], ['Fe', 2, 3], ['Si', 3, 4], ['Al', 1, 3], ['O', 13, 1], ['H', 4, 1]]","{'Na': 1.39, 'Fe': 22.52, 'Si': 16.99, 'Al': 5.44, 'O': 51.62, 'H': 2.03}","{'Al2O3': 10.28, 'Na2O': 1.87, 'Fe2O3': 32.20, 'SiO2': 36.35, 'H2O': 18.16}"
montmorillonite,"(Na,Ca)0.33(Al,Mg)2(Si4O10)(OH)2 6H2O",smectite group,phyllosilicate,"[['Na', 0.2, 1], ['Ca', 0.1, 2], ['Al', 2, 3], ['Si', 4, 4], ['O', 22, -2], ['H', 22, 1]]","{'Na': 0.84, 'Ca': 0.73, 'Al': 9.83,'Si': 20.46, 'O': 64.11, 'H': 4.04}","{'Al2O3': 18.57, 'Na2O': 1.13, 'CaO': 1.02, 'SiO2': 43.77, 'H2O': 36.09}"
nabesite,Na2BeSi4O10 · 4H2O,zeolite group,phyllosilicate,"[['Na', 2, 1], ['Be', 1, 2], ['Si', 4, 4], ['O', 14, -2], ['H', 8, 1]]","{'Na': 11.51, 'Be': 2.26, 'Si': 28.13, 'O': 56.08, 'H': 2.02}","{ 'Na2O': 15.53, 'BeO': 6.27, 'SiO2': 60.14, 'H2O': 18.06}"
almandine,Fe2+3Al2(SiO4)3,garnet group,nesosilicate,"[['Fe', 3, 2], ['Al', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Fe': 33.66, 'Al': 10.84, 'Si': 16.93, 'O': 38.57}","{ 'Al2O3': 20.48, 'FeO': 43.30, 'SiO2': 36.21}"
pyrope,Mg3Al2(SiO4)3,garnet group,nesosilicate,"[['Mg', 3, 2], ['Al', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Mg': 18.09, 'Al': 13.39, 'Si': 20.9, 'O': 47.63}","{ 'Al2O3': 25.29, 'MgO': 29.99, 'SiO2': 44.71}"
spessartine,Mn2+3Al2(SiO4)3,garnet group,nesosilicate,"[['Mn', 3, 2], ['Al', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Mn': 33.29, 'Al': 10.9, 'Si': 17.02, 'O': 38.79}","{ 'Al2O3': 20.60, 'MnO': 42.99, 'SiO2': 36.41}"
andradite,Ca3Fe3+2(SiO4)3,garnet group,nesosilicate,"[['Ca', 3, 2], ['Fe', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Ca': 23.66, 'Fe': 21.98, 'Si': 16.58, 'O': 37.78}","{ 'Fe2O3': 31.42, 'CaO': 33.11, 'SiO2': 35.47}"
grossular,Ca3Al2(SiO4)3,garnet group,nesosilicate,"[['Ca', 3, 2], ['Al', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Ca': 26.69, 'Al': 11.98, 'Si': 18.7, 'O': 42.62}","{ 'Al2O3': 22.64, 'CaO': 37.35, 'SiO2': 40.02}"
uvarovite,Ca3Cr2(SiO4)3,garnet group,nesosilicate,"[['Ca', 3, 2], ['Cr', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Ca': 24.02, 'Cr': 20.78, 'Si': 16.83, 'O': 38.36}","{ 'Cr2O3': 30.39,, 'CaO': 33.61, 'SiO2': 35.99}"
knorringite,Mg3Cr2(SiO4)3,garnet group,nesosilicate,"[['Mg', 3, 2], ['Cr', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Mg': 16.09, 'Cr': 22.95, 'Si': 18.59, 'O': 42.37}","{ 'Cr2O3': 33.54, 'MgO': 26.68, 'SiO2': 39.78}"
calderite,Mn2+3Fe3+2(SiO4)3,garnet group,nesosilicate,"[['Mn', 3, 2], ['Fe', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Mn': 29.82, 'Fe': 20.21, 'Si': 15.24, 'O': 34.73}","{ 'Fe2O3': 28.87, 'MnO': 38.52, 'SiO2': 32.61}"
eringaite,Ca3Sc2(SiO4)3,garnet group,nesosilicate,"[['Ca', 3, 2], ['Sc', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Ca': 24.72, 'Sc': 18.49, 'Si': 17.32, 'O': 39.47}","{ 'Sc2O3': 28.35, 'CaO': 34.60, 'SiO2': 37.05}"
goldmanite,Ca3V3+2(SiO4)3,garnet group,nesosilicate,"[['Ca', 3, 2], ['V', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Ca': 24.13, 'V': 20.44, 'Si': 16.91, 'O': 38.53}","{ 'V2O3': 30.10, 'CaO': 33.77, 'SiO2': 36.13}"
majorite,Mg3(MgSi)(SiO4)3,garnet group,nesosilicate,"[['Mg', 4, 2], ['Si', 4, 4], ['O', 12, -2]]","{'Mg': 24.21, 'Si': 27.98, 'O': 47.81}","{'MgO': 40.17, 'SiO2': 59.83}"
momoiite,Mn2+3V3+2(SiO4)3,garnet group,nesosilicate,"[['Mn', 3, 2], ['V', 2, 3], ['Si', 3, 4], ['O', 12, -2]]","{'Mn': 30.36, 'V': 18.76, 'Si': 15.52, 'O': 35.36}","{ 'V2O3': 27.62, 'MnO': 39.18, 'SiO2': 33.18}"
morimotoite,Ca3(TiFe2+)(SiO4)3,garnet group,nesosilicate,"[['Ca', 3, 2], ['Ti', 1, 4], ['Fe', 1, 2], ['Si', 3, 4], ['O', 12, -2]]","{'Ca': 24.04, 'Ti': 9.57, 'Fe': 11.16, 'Si': 16.84, 'O': 38.38}","{ 'TiO2': 15.97, 'CaO': 33.63, 'FeO': 14.36, 'SiO2': 36.04}"
henritermierite,Ca3Mn3+2(SiO4)2(OH)4,garnet group,nesosilicate,"[['Ca', 3, 2], ['Mn', 2, 3], ['Si', 2, 4], ['O', 12, -2], ['H', 4, 1]]","{'Ca': 24.93, 'Mn': 22.78, 'Si': 11.65, 'O': 39.81, 'H': 0.84}","{ 'Mn2O3': 30.45, 'CaO': 32.45, 'H2O': 13.96, 'SiO2': 23.18}"
nikmelnikovite,Ca12Fe2+Fe3+3Al3(SiO4)6(OH)20,garnet group,nesosilicate,"[['Ca', 12, 2], ['Fe', 1, 2], ['Fe', 3, 3], ['Al', 3, 3], ['Si', 6, 4], ['O', 27, -2], ['H', 2, 1]]","{'Ca': 34.65, 'Fe': 12.07, 'Al': 5.83, 'Si': 12.14, 'O': 31.13, 'H': 0.15}","{ 'Fe2O3': 12.31, 'CaO': 46.18, 'FeO': 3.70, 'Al2O3': 10.51, 'SiO2': 24.76, 'H2O': 2.56}"
hutcheonite,Ca3Ti2(SiO4)(AlO4)2,garnet group,nesosilicate,"[['Ca', 3, 2], ['Ti', 2, 4], ['Si', 1, 4], ['O', 12, -2], ['Al', 2, 3]]","{'Ca': 24.54, 'Ti': 19.54, 'Si': 5.73, 'O': 39.18, 'Al': 11.01}","{ 'TiO2': 32.59, 'CaO': 34.33, 'Al2O3': 20.81, 'SiO2': 12.25}"
irinarassite,Ca3Sn2(SiO4)(AlO4)2,garnet group,nesosilicate,"[['Ca', 3, 2], ['Sn', 2, 4], ['Si', 1, 4], ['O', 12, -2], ['Al', 2, 3]]","{'Ca': 19.03, 'Sn': 37.58, 'Si': 4.45, 'O': 30.39, 'Al': 8.54}","{ 'SnO2': 47.70, 'CaO': 26.63, 'Al2O3': 16.15, 'SiO2': 9.52}"
kerimasite,Ca3Zr2(SiO4)(Fe3+O4)2,garnet group,nesosilicate,"[['Ca', 3, 2], ['Zr', 2, 4], ['Si', 1, 4], ['O', 12, -2], ['Fe', 2, 3]]","{'Ca': 18.95, 'Zr': 28.76, 'Si': 4.43, 'O': 30.26, 'Fe': 17.6}","{ 'ZrO2': 38.83, 'CaO': 26.51, 'Fe2O3': 25.16, 'SiO2': 9.47}"
kimzeyite,Ca3Zr2(SiO4)(AlO4)2,garnet group,nesosilicate,"[['Ca', 3, 2], ['Zr', 2, 4], ['Si', 1, 4], ['O', 12, -2], ['Al', 2, 3]]","{'Ca': 20.85, 'Zr': 31.63, 'Si': 4.87, 'O': 33.29, 'Al': 9.36}","{ 'ZrO2': 42.72, 'CaO': 29.15, 'Al2O3': 17.70, 'SiO2': 10.42}"
schorlomite,Ca3Ti2(SiFe3+2)O12,garnet group,nesosilicate,"[['Ca', 3, 2], ['Ti', 2, 4], ['Si', 1, 4], ['Fe', 2, 3], ['O', 12, -2]]","{'Ca': 21.95, 'Ti': 17.48, 'Si': 5.13, 'Fe': 20.39, 'O': 35.05}","{ 'TiO2': 29.18, 'CaO': 30.73, 'Fe2O3': 29.20, 'SiO2': 10.97}"
toturite,Ca3Sn2(SiO4)(Fe3+O4)2,garnet group,nesosilicate,"[['Ca', 3, 2], ['Sn', 2, 4], ['Si', 1, 4], ['Fe', 2, 3], ['O', 12, -2]]","{'Ca': 17.44, 'Sn': 34.44, 'Si': 4.07, 'Fe': 16.2, 'O': 27.85}","{ 'SnO2': 43.74, 'CaO': 24.40, 'Fe2O3': 23.17, 'SiO2': 8.71}"
zircon,Zr(SiO4),nan,nesosilicate,"[['Zr', 1, 4], ['Si', 1, 4], ['O', 4, -2]]","{'Zr': 49.77, 'Si': 15.32, 'O': 34.91}","{'ZrO2': 67.20, 'SiO2': 32.77}"
andalusite,Al2SiO5,nan,nesosilicate,"[['Al', 2, 3], ['Si', 1, 4], ['O', 5, -2]]","{'Al': 33.3, 'Si': 17.33, 'O': 49.37}","{'Al2O3': 62.92, 'SiO2': 37.08}"
staurolite,Fe2+2Al9Si4O23(OH),nan,nesosilicate,"[['Fe', 2, 2], ['Al', 9, 3], ['Si', 4, 4], ['O', 24, -2], ['H', 1, 1]]","{'Fe': 13.11, 'Al': 28.51, 'Si': 13.19, 'O': 45.08, 'H': 0.12}","{'H2O': 1.07, 'FeO': 16.88, 'SiO2': 28.18, 'Al2O3': 53.89}"
liberite,Li2BeSiO4,nan,nesosilicate,"[['Li', 2, 1], ['Be', 1, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Li': 12.07, 'Be': 7.84, 'Si': 24.43, 'O': 55.66}","{'Li2O': 25.99, 'BeO': 21.75, 'SiO2': 52.26}"
esperite,PbCa2Zn3(SiO4)3,nan,nesosilicate,"[['Pb', 1, 2], ['Ca', 2, 2], ['Zn', 3, 2], ['Si', 3, 4], ['O', 12, -2]]","{'Pb': 27.27, 'Ca': 10.55, 'Zn': 25.82, 'Si': 11.09, 'O': 25.27}","{'CaO': 17.57, 'ZnO': 34.01, 'SiO2': 25.11, 'PbO': 23.31}"
chloritoid,Fe2+Al2O(SiO4)(OH)2,nan,nesosilicate,"[['Fe', 1, 2], ['Al', 1, 3], ['Si', 1, 4], ['O', 7, -2], ['H', 2, 1]]","{'Fe': 24.83, 'Al': 12.0, 'Si': 12.49, 'O': 49.79, 'H': 0.9}","{'FeO': 35.75, 'Al2O3': 25.37, 'SiO2': 29.85, 'H2O': 9.01}"
topaz,Al2SiO4F2,nan,nesosilicate,"[['Al', 2, 3], ['Si', 1, 4], ['O', 4, -2], ['F', 2, 1]]","{'Al': 29.32, 'Si': 15.26, 'O': 34.77, 'F': 20.64}","{'Al2O3': 55.39, 'F': 11.75, 'SiO2': 32.65}"
phenakite,Be2SiO4,nan,nesosilicate,"[['Be', 2, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Be': 16.37, 'Si': 25.51, 'O': 58.12}","{'BeO': 45.43, 'SiO2': 54.57}"
forsterite,Mg2(SiO4),olivine group,nesosilicate,"[['Mg', 2, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Mg': 34.55, 'Si': 19.96, 'O': 45.49}","{'MgO': 57.29, 'SiO2': 42.71}"
fayalite,Fe2+2(SiO4),olivine group,nesosilicate,"[['Fe', 2, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Fe': 54.81, 'Si': 13.78, 'O': 31.41}","{'FeO': 70.51, 'SiO2': 29.49}"
calcio-olivine,Ca2SiO4,olivine group,nesosilicate,"[['Ca', 2, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Ca': 46.54, 'Si': 16.31, 'O': 37.16}","{'CaO': 65.15, 'SiO2': 34.91}"
glaucochroite,CaMn2+SiO4,olivine group,nesosilicate,"[['Ca', 1, 2], ['Mn', 1, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Ca': 21.42, 'Mn': 29.36, 'Si': 15.01, 'O': 34.21}","{'CaO': 29.98, 'MnO': 37.91, 'SiO2': 32.09}"
kirschsteinite,CaFe2+SiO4,olivine group,nesosilicate,"[['Ca', 1, 2], ['Fe', 1, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Ca': 21.32, 'Fe': 29.7, 'Si': 14.94, 'O': 34.04}","{'CaO': 29.82, 'FeO': 38.22, 'SiO2': 31.94}"
liebenbergite,Ni2SiO4,olivine group,nesosilicate,"[['Ni', 2, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Ni': 56.04, 'Si': 13.41, 'O': 30.55}","{'NiO': 71.33, 'SiO2': 28.67}"
monticellite,CaMgSiO4,olivine group,nesosilicate,"[['Ca', 1, 2], ['Mg', 1, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Ca': 25.61, 'Mg': 15.53, 'Si': 17.95, 'O': 40.9}","{'CaO': 35.86, 'MgO': 25.76, 'SiO2': 38.38}"
tephroite,Mn2+2SiO4,olivine group,nesosilicate,"[['Mn', 2, 2], ['Si', 1, 4], ['O', 4, -2]]","{'Mn': 54.4, 'Si': 13.91, 'O': 31.69}","{'MnO': 70.23, 'SiO2': 29.77}"
brunogeierite,Ge4+Fe2+2O4,spinel group,nesosilicate,"[['Ge', 1, 4], ['Fe', 2, 2], ['O', 4, -2]]","{'Ge': 29.25, 'Fe': 44.98, 'O': 25.77}","{'GeO2': 42.13, 'FeO': 57.87}"
titanite,CaTi(SiO4)O,titanite group,nesosilicate,"[['Ca', 1, 2], ['Ti', 1, 4], ['Si', 1, 4], ['O', 5, -2]]","{'Ca': 20.44, 'Ti': 24.42, 'Si': 14.33, 'O': 40.81}","{'CaO': 28.59, 'TiO2': 40.75, 'SiO2': 30.65}"
malayaite,CaSnO(SiO4),titanite group,nesosilicate,"[['Ca', 1, 2], ['Sn', 1, 4], ['Si', 1, 4], ['O', 5, -2]]","{'Ca': 15.02, 'Sn': 44.48, 'Si': 10.52, 'O': 29.98}","{'CaO': 20.3, 'SnO': 57.94, 'SiO2': 21.76}"
albite,Na(AlSi3O8),feldspar group,tectosilicate,"[['Na', 1, 1], ['Al', 1, 3], ['Si', 3, 4], ['O', 8, -2]]","{'Na': 8.77, 'Al': 10.29, 'Si': 32.13, 'O': 48.81}","{'Na2O': 11.82, 'Al2O3': 19.44, 'SiO2': 68.72}"
anorthite,Ca(Al2Si2O8),feldspar group,tectosilicate,"[['Ca', 1, 2], ['Al', 2, 3], ['Si', 2, 4], ['O', 8, -2]]","{'Ca': 14.41, 'Al': 19.4, 'Si': 20.19, 'O': 46.01}","{'CaO': 19.76, 'Al2O3': 35.84, 'SiO2': 44.40}"
orthoclase,K(AlSi3O8),feldspar group,tectosilicate,"[['K', 1, 1], ['Al', 1, 3], ['Si', 3, 4], ['O', 8, -2]]","{'K': 14.05, 'Al': 9.69, 'Si': 30.27, 'O': 45.99}","{'K2O': 16.92, 'Al2O3': 18.32, 'SiO2': 64.76}"
banalsite,Na2BaAl4Si4O16,feldspar group,tectosilicate,"[['Na', 2, 1], ['Ba', 1, 2], ['Al', 4, 3], ['Si', 4, 4], ['O', 16, -2]]","{'Na': 6.97, 'Ba': 20.82, 'Al': 16.36, 'Si': 17.03, 'O': 38.81}","{'Na2O': 9.40, 'BaO': 23.25,  'Al2O3': 30.92, 'SiO2': 36.44}"
buddingtonite,(NH4)(AlSi3O8)0.5H2O,feldspar group,tectosilicate,"[['N', 1, -3], ['H', 4, 1], ['Al', 1, 3], ['Si', 3, 4], ['O', 8, -2]]","{'N': 5.26, 'H': 1.51, 'Al': 10.13, 'Si': 31.64, 'O': 51.07}","{'H2O': 3.38, 'NH42O': 9.78,  'Al2O3': 19.15, 'SiO2': 67.69}"
celsian,Ba(Al2Si2O8),feldspar group,tectosilicate,"[['Ba', 1, 2], ['Al', 2, 3], ['Si', 2, 4], ['O', 8, -2]]","{'Ba': 36.58, 'Al': 14.37, 'Si': 14.96, 'O': 34.09}","{'BaO': 40.84,  'Al2O3': 27.16, 'SiO2': 32.01}"
reedmergnerite,NaBSi3O8,feldspar group,tectosilicate,"[['Na', 1, 1], ['B', 1, 3], ['Si', 3, 4], ['O', 8, -2]]","{'Na': 9.34, 'B': 4.39, 'Si': 34.24, 'O': 52.02}","{'Na2O': 12.59,  'B2O3': 14.15, 'SiO2': 73.26}"
slawsonite,Sr(Al2Si2O8),feldspar group,tectosilicate,"[['Sr', 1, 2], ['Al', 2, 3], ['Si', 2, 4], ['O', 8, -2]]","{'Sr': 26.9, 'Al': 16.57, 'Si': 17.24, 'O': 39.29}","{'SrO': 31.83,  'Al2O3': 31.31, 'SiO2': 36.87}"
stronalsite,Na2SrAl4Si4O16,feldspar group,tectosilicate,"[['Na', 2, 1], ['Sr', 1, 2], ['Al', 4, 3], ['Si', 4, 4], ['O', 16, -2]]","{'Na': 7.54, 'Sr': 14.37, 'Al': 17.7, 'Si': 18.42, 'O': 41.98}","{'Na2O': 10.16, 'SrO': 16.99,  'Al2O3': 33.44, 'SiO2': 39.41}"
rubicline,Rb(AlSi3O8),feldspar group,tectosilicate,"[['Rb', 1, 1], ['Al', 1, 3], ['Si', 3, 4], ['O', 8, -2]]","{'Rb': 26.32, 'Al': 8.31, 'Si': 25.95, 'O': 39.42}","{'Rb2O': 28.79,  'Al2O3': 15.70, 'SiO2': 55.50}"
kalsilite,KAlSiO4,feldspathoid group,tectosilicate,"[['K', 1, 1], ['Al', 1, 3], ['Si', 1, 4], ['O', 4, -2]]","{'K': 24.72, 'Al': 17.06, 'Si': 17.76, 'O': 40.46}","{'K2O': 29.78,  'Al2O3': 32.23, 'SiO2': 37.99}"
leucite,K(AlSi2O6),feldspathoid group,tectosilicate,"[['K', 1, 1], ['Al', 1, 3], ['Si', 2, 4], ['O', 6, -2]]","{'K': 17.91, 'Al': 12.36, 'Si': 25.74, 'O': 43.99}","{'K2O': 21.58,  'Al2O3': 23.36, 'SiO2': 55.06}"
sodalite,Na4(Si3Al3)O12Cl,feldspathoid group,tectosilicate,"[['Na', 4, 1], ['Al', 3, 3], ['Si', 3, 4], ['O', 12, -2], ['Cl', 1, 1]]","{'Na': 18.98, 'Al': 16.7, 'Si': 17.39, 'O': 39.62, 'Cl': 7.32}","{'Na2O': 25.58,  'Al2O3': 31.56, 'SiO2': 37.20, 'F': 5.67}"
nosalite,Na8(Si6Al6)O24(SO4)·H2O,feldspathoid group,tectosilicate,"[['Na', 8, 1], ['Al', 6, 3], ['Si', 6, 4], ['O', 29, -2], ['S', 1, '+6'], ['H', 2, 1]]","{'Na': 18.17, 'Al': 15.99, 'Si': 16.64, 'O': 45.83, 'S': 3.17, 'H': 0.2}","{'Na2O': 24.49,  'Al2O3': 30.21, 'SiO2': 35.61, 'H2O': 1.78, 'SO3': 7.91}"
hauynite,Na3Ca(Si3Al3)O12(SO4),feldspathoid group,tectosilicate,"[['Na', 3, 1], ['Ca', 1, 2], ['Al', 3, 3], ['Si', 3, 4], ['O', 16, -2], ['S', 1, 6]]","{'Na': 12.27, 'Ca': 7.13, 'Al': 14.4, 'Si': 14.98, 'O': 45.53, 'S': 5.7}","{'Na2O': 16.53,  'CaO': 9.98, 'Al2O3': 27.21, 'SiO2': 32.04, 'SO3': 14.23}"
marialite,Na4Al3Si9O24Cl,scapolite group,tectosilicate,"[['Na', 4, 1], ['Al', 3, 3], ['Si', 9, 4], ['O', 24, -2], ['Cl', 1, 1]]","{'Na': 10.88, 'Al': 9.58, 'Si': 29.91, 'O': 45.44, 'Cl': 4.19}","{'Na2O': 14.67,  'Al2O3': 18.10, 'SiO2': 63.99, 'Cl': 3.25}"
meionite,Ca4Al6Si6O24(CO3),scapolite group,tectosilicate,"[['Ca', 4, 2], ['Al', 6, 3], ['Si', 6, 4], ['O', 27, -2], ['C', 1, 4]]","{'Ca': 17.15, 'Al': 17.32, 'Si': 18.03, 'O': 46.22, 'C': 1.28}","{'CaO': 24.00,  'Al2O3': 32.73, 'SiO2': 38.57, 'CO2': 4.71}"
natrolite,Na2Al2Si3O10 · 2H2O,zeolite group,tectosilicate,"[['Na', 2, 1], ['Al', 2, 3], ['Si', 3, 4], ['O', 12, -2], ['H', 4, 1]]","{'Na': 12.09, 'Al': 14.19, 'Si': 22.16, 'O': 50.5, 'H': 1.06}","{'Na2O': 16.30,  'Al2O3': 26.82, 'SiO2': 47.41, 'H2O': 9.48}"
thomsonite,NaCa2(Al5Si5)O20·6H2O,zeolite group,tectosilicate,"[['Na', 1, 1], ['Ca', 2, 2], ['Al', 5, 3], ['Si', 5, 4], ['O', 26, -2], ['H', 12, 1]]","{'Na': 2.85, 'Ca': 9.94, 'Al': 16.73, 'Si': 17.41, 'O': 51.58, 'H': 1.5}","{'Na2O': 3.84, 'CaO': 13.91, 'Al2O3': 31.60, 'SiO2': 37.25, 'H2O': 13.40}"
phillipsite-K,K6(Si10Al6)O32 · 12H2O,zeolite group,tectosilicate,"[['K', 6, 1], ['Al', 6, 3], ['Si', 10, 4], ['O', 44, -2], ['H', 24, 1]]","{'K': 16.69, 'Al': 11.52, 'Si': 19.98, 'O': 50.09, 'H': 1.72}","{'K2O': 20.10, 'Al2O3': 21.77, 'SiO2': 42.75, 'H2O': 15.48}"
phillipsite-Ca,Ca3(Si10Al6)O32 · 12H2O,zeolite group,tectosilicate,"[['Ca', 3, 2], ['Al', 6, 3], ['Si', 10, 4], ['O', 44, -2], ['H', 24, 1]]","{'Ca': 9.31, 'Al': 12.54, 'Si': 21.75, 'O': 54.52, 'H': 1.87}","{'CaO': 13.03, 'Al2O3': 23.69, 'SiO2': 46.54, 'H2O': 16.74}"
phillipsite-Na,Na6(Si10Al6)O32 · 12H2O,zeolite group,tectosilicate,"[['Na', 6, 1], ['Al', 6, 3], ['Si', 10, 4], ['O', 44, -2], ['H', 24, 1]]","{'Na': 10.54, 'Al': 12.37, 'Si': 21.46, 'O': 53.79, 'H': 1.85}","{'Na2O': 14.20, 'Al2O3': 23.38, 'SiO2': 45.91, 'H2O': 16.51}"
harmotome,Ba2(Si12Al4)O32 · 12H2O,zeolite group,tectosilicate,"[['Ba', 2, 2], ['Al', 4, 3], ['Si', 12, 4], ['O', 44, -2], ['H', 24, 1]]","{'Ba': 18.97, 'Al': 7.45, 'Si': 23.28, 'O': 48.63, 'H': 1.67}","{'BaO': 21.18, 'Al2O3': 14.08, 'SiO2': 49.79, 'H2O': 14.94}"
heulandite- Ca,"(Ca,Na)5(Si27Al9)O72 · 26H2O",zeolite group,tectosilicate,"[['Ca', 4, 2], ['Na', 1, 1], ['Si', 27, 4], ['Al', 9, 3], ['O', 98, -2], ['H', 52, 1]]","{'Ca': 5.72, 'Na': 0.82, 'Si': 27.04, 'Al': 8.66, 'O': 55.9, 'H': 1.87}","{'CaO': 7.99, 'Na2O': 1.10, 'Al2O3': 16.36, 'SiO2': 57.84, 'H2O': 16.71}"
heulandite- Ba,"(Ba,Ca,K)5(Si27Al9)O72 · 22H2O",zeolite group,tectosilicate,"[['Ba', 2.5, 2], ['Ca', 1.5, 1], ['K', 1, 1], ['Si', 27, 4], ['Al', 9, 3], ['O', 94, -2], ['H', 44, 1]]","{'Ba': 11.47, 'Ca': 2.01, 'K': 1.31, 'Si': 25.34, 'Al': 8.12, 'O': 50.27, 'H': 1.48}","{'BaO': 12.81, 'CaO': 2.81, 'K2O': 1.57, 'Al2O3': 15.34, 'SiO2': 54.22, 'H2O': 13.25}"
chabazite-Ca,Ca2[Al4Si8O24] · 13H2O,zeolite group,tectosilicate,"[['Ca', 2, 2], ['Al', 4, 3], ['Si', 8, 4], ['O', 37, -2], ['H', 26, 1]]","{'Ca': 7.77, 'Al': 10.47, 'Si': 21.79, 'O': 57.42, 'H': 2.54}","{'CaO': 10.88, 'Al2O3': 19.79, 'SiO2': 46.63, 'H2O': 22.70}"
chabazite-K,(K2NaCa0.5)[Al4Si8O24] · 11H2O,zeolite group,tectosilicate,"[['K', 2, 1], ['Na', 1, 1], ['Ca', 0.5, 2], ['Al', 4, 3], ['Si', 8, 4], ['O', 35, -2], ['H', 22, 1]]","{'K': 7.55, 'Na': 2.22, 'Ca': 1.93, 'Al': 10.42, 'Si': 21.69, 'O': 54.05, 'H': 2.14}","{'Na2O': 2.99, 'CaO': 2.71, 'K2O': 9.09, 'Al2O3': 19.69, 'SiO2': 46.39, 'H2O': 19.13}"
chabazite-Na,(Na3K)[Al4Si8O24] · 11H2O,zeolite group,tectosilicate,"[['Na', 3, 1], ['K', 1, 1], ['Al', 4, 3], ['Si', 8, 4], ['O', 35, -2], ['H', 22, 1]]","{'Na': 6.74, 'K': 3.82, 'Al': 10.55, 'Si': 21.97, 'O': 54.75, 'H': 2.17}","{'Na2O': 9.09, 'K2O': 4.61, 'Al2O3': 19.94, 'SiO2': 47.00, 'H2O': 19.38}"
barrerite,Na2(Si7Al2)O18 · 6H2O,zeolite group,tectosilicate,"[['Na', 2, 1], ['Al', 2, 3], ['Si', 7, 4], ['O', 24, -2], ['H', 12, 1]]","{'Na': 6.64, 'Al': 7.79, 'Si': 28.38, 'O': 55.44, 'H': 1.75}","{'Na2O': 8.95, 'Al2O3': 14.72, 'SiO2': 60.70, 'H2O': 15.61}"
